compression_index,session_time_ms,time_s,peak_depth_mm,lean_mm,rate_cpm,hp_x,hp_y,hp_s,force_N
1,1360,1.36,46.0,0.1,0.0,0.0,0.0,0.0,-1.1
2,1904,1.904,61.0,14.5,110.3,0.0,0.0,0.0,-0.7
3,2449,2.449,63.5,22.5,110.1,-24.7,18.6,9.7,-0.6
4,2903,2.903,63.5,27.9,132.5,-24.7,18.6,8.7,-0.7
5,3357,3.357,63.5,28.1,132.2,-24.7,18.6,17.7,-0.9
6,3720,3.72,63.0,31.1,165.3,0.0,0.0,0.0,-0.6
7,4264,4.264,61.0,27.9,110.3,0.0,0.0,0.0,-0.9
8,4717,4.717,55.0,26.2,132.5,-21.4,-21.4,7.0,-0.9
9,5262,5.262,40.0,24.4,110.1,-24.7,18.6,8.7,-1.0
10,5715,5.715,55.0,21.8,132.5,-24.7,18.6,7.7,-0.9
11,6168,6.168,58.0,25.0,131.9,0.0,0.0,0.0,-0.9
12,6622,6.622,63.5,23.8,132.7,0.0,0.0,0.0,-0.6
13,7167,7.167,62.0,25.7,110.1,-21.4,-21.4,12.0,-0.7
14,7620,7.62,63.0,25.1,132.2,0.0,0.0,0.0,-1.0
15,8074,8.074,63.5,26.8,132.5,0.0,0.0,0.0,0.6
16,8618,8.618,63.5,24.8,110.3,0.0,0.0,0.0,-1.1
17,9163,9.163,63.5,24.9,110.1,0.0,0.0,0.0,-0.8
18,9615,9.615,63.5,24.7,132.5,0.0,0.0,0.0,-0.8
19,10161,10.161,63.5,26.8,110.1,0.0,0.0,0.0,-0.8
20,10614,10.614,60.0,26.8,132.5,0.0,0.0,0.0,-1.0
21,11158,11.158,53.0,25.6,110.3,0.0,0.0,0.0,-1.1
22,11702,11.702,53.0,24.2,110.1,-24.7,18.6,6.7,-1.0
23,12156,12.156,61.0,22.9,132.5,0.0,0.0,0.0,-0.9
24,12701,12.701,63.5,25.2,110.1,0.0,0.0,0.0,-0.5
25,13245,13.245,60.0,24.0,110.3,0.0,0.0,0.0,-0.8
26,13698,13.698,63.5,22.5,132.2,0.0,0.0,0.0,-0.6
27,14243,14.243,58.0,20.4,110.3,0.0,0.0,0.0,-0.9
28,14787,14.787,58.0,19.0,110.1,0.0,0.0,0.0,-0.8
29,15331,15.331,61.0,18.2,110.5,0.0,0.0,0.0,-0.8
30,15876,15.876,56.0,19.9,110.1,0.0,0.0,0.0,-1.0
31,16420,16.42,60.0,19.3,110.3,0.0,0.0,0.0,-1.1
32,16964,16.964,61.0,20.7,110.1,0.0,0.0,0.0,-0.8
33,17509,17.509,63.5,18.9,110.3,0.0,0.0,0.0,-0.6
34,18053,18.053,63.5,20.3,110.3,0.0,0.0,0.0,-0.7
35,18598,18.598,62.0,21.1,110.1,0.0,0.0,0.0,-0.7
36,19141,19.141,59.0,21.8,110.3,0.0,0.0,0.0,-0.8
37,19685,19.685,62.0,21.0,110.3,0.0,0.0,0.0,-0.9
38,20230,20.23,60.0,20.2,110.1,0.0,0.0,0.0,-0.8
39,20775,20.775,62.0,22.0,110.3,0.0,0.0,0.0,-0.8
40,21318,21.318,60.0,21.4,110.1,0.0,0.0,0.0,-0.7
41,21863,21.863,57.0,21.1,110.3,0.0,0.0,0.0,-0.9
42,22407,22.407,58.0,20.5,110.3,0.0,0.0,0.0,-0.8
43,22952,22.952,58.0,19.6,110.3,0.0,0.0,0.0,-0.7
44,23497,23.497,60.0,20.5,110.1,0.0,0.0,0.0,-0.7
45,24041,24.041,58.0,20.6,110.3,0.0,0.0,0.0,-0.7
46,24585,24.585,63.5,20.1,110.1,-0.2,19.7,7.0,-0.6
47,25130,25.13,61.0,21.1,110.3,1.3,20.3,6.0,-0.8
48,25675,25.675,63.0,19.1,110.1,2.1,20.5,6.0,-0.7
49,26218,26.218,63.5,18.0,110.5,21.9,21.9,7.0,-0.8
50,26763,26.763,60.0,19.6,110.1,21.9,21.9,6.0,-0.8
51,27307,27.307,63.5,20.4,110.1,21.9,21.9,7.0,0.1
52,27943,27.943,63.5,22.8,94.5,0.0,0.0,0.0,-0.6
53,28395,28.395,60.0,25.2,132.5,21.9,21.9,7.0,-0.9
54,29031,29.031,57.0,22.3,94.5,0.0,0.0,0.0,-0.9
55,29484,29.484,54.0,21.8,132.2,21.9,21.9,6.0,-0.9
