compression_index,session_time_ms,time_s,peak_depth_mm,lean_mm,rate_cpm,hp_x,hp_y,hp_s,force_N
1,907,0.907,63.0,0.0,0.0,0.0,0.0,0.0,0.7
2,1361,1.361,63.0,18.0,132.2,0.0,0.0,0.0,0.5
3,1906,1.906,63.0,21.5,110.3,-24.7,18.6,5.6,0.5
4,2358,2.358,61.0,22.7,132.5,0.0,0.0,0.0,0.2
5,2812,2.812,63.5,21.5,131.9,0.0,0.0,0.0,0.5
6,3266,3.266,60.0,21.9,132.5,0.0,0.0,0.0,0.2
7,3809,3.809,59.0,21.3,110.3,0.0,0.0,0.0,0.4
8,4264,4.264,61.0,18.7,132.2,0.0,0.0,0.0,0.4
9,4808,4.808,63.0,17.9,110.3,0.0,0.0,0.0,0.4
10,5352,5.352,63.0,16.7,110.1,0.0,0.0,0.0,0.6
11,5896,5.896,62.0,15.4,110.5,0.0,0.0,0.0,0.6
12,6440,6.44,63.5,15.2,110.1,0.0,0.0,0.0,0.8
13,6985,6.985,61.0,15.2,110.3,0.0,0.0,0.0,0.4
14,7528,7.528,56.0,16.3,110.3,0.0,0.0,0.0,0.3
15,7983,7.983,60.0,15.2,132.2,0.0,0.0,0.0,0.2
16,8526,8.526,63.5,15.6,110.1,0.0,0.0,0.0,0.6
17,9071,9.071,61.0,16.9,110.3,0.0,0.0,0.0,0.3
18,9615,9.615,55.0,16.5,110.5,0.0,0.0,0.0,0.2
19,10069,10.069,57.0,17.6,132.2,0.0,0.0,0.0,0.3
20,10613,10.613,60.0,15.2,110.3,0.0,0.0,0.0,0.3
21,11157,11.157,54.0,16.8,110.1,0.0,0.0,0.0,0.3
22,11701,11.701,61.0,15.0,110.3,0.0,0.0,0.0,0.2
23,12246,12.246,56.0,15.5,110.3,0.0,0.0,0.0,0.3
24,12700,12.7,57.0,16.2,132.2,0.0,0.0,0.0,0.2
25,13244,13.244,60.0,15.4,110.3,0.0,0.0,0.0,0.5
26,13788,13.788,53.0,15.3,110.1,0.0,0.0,0.0,0.2
27,14242,14.242,52.0,16.1,132.5,0.0,0.0,0.0,0.2
28,14787,14.787,61.0,13.6,109.9,0.0,0.0,0.0,0.5
29,15331,15.331,51.0,17.3,110.5,0.0,0.0,0.0,0.2
30,15785,15.785,58.0,15.5,132.2,0.0,0.0,0.0,0.6
31,16329,16.329,55.0,15.2,110.3,0.0,0.0,0.0,0.3
32,16873,16.873,55.0,14.5,110.1,0.0,0.0,0.0,0.3
33,17417,17.417,54.0,15.4,110.3,0.0,0.0,0.0,0.3
34,17963,17.963,54.0,16.3,110.1,0.0,0.0,0.0,0.2
35,18416,18.416,49.0,16.1,132.2,0.0,0.0,0.0,0.4
36,18960,18.96,47.0,13.8,110.3,0.0,0.0,0.0,0.3
37,19414,19.414,51.0,13.6,132.5,0.0,0.0,0.0,0.3
38,19959,19.959,54.0,14.4,110.1,0.0,0.0,0.0,0.4
39,20503,20.503,47.0,17.0,110.3,0.0,0.0,0.0,0.2
40,20956,20.956,54.0,16.4,132.2,0.0,0.0,0.0,0.2
41,21501,21.501,51.0,14.9,110.3,0.0,0.0,0.0,0.3
42,22046,22.046,47.0,14.8,110.1,0.0,0.0,0.0,0.2
43,22499,22.499,54.0,14.7,132.5,0.0,0.0,0.0,0.4
44,23043,23.043,50.0,14.8,110.1,0.0,0.0,0.0,0.2
45,23588,23.588,51.0,14.9,110.3,0.0,0.0,0.0,0.4
46,24041,24.041,54.0,16.9,131.9,0.0,0.0,0.0,0.2
47,24586,24.586,53.0,17.3,110.5,0.0,0.0,0.0,0.1
48,25040,25.04,51.0,16.3,132.2,0.0,0.0,0.0,0.0
49,25584,25.584,53.0,15.4,110.1,0.0,0.0,0.0,0.1
50,26127,26.127,54.0,15.3,110.5,0.0,0.0,0.0,0.0
51,26582,26.582,50.0,16.5,132.2,0.0,0.0,0.0,0.4
52,27126,27.126,48.0,15.1,110.3,0.0,0.0,0.0,0.0
53,27671,27.671,57.0,13.9,110.1,0.0,0.0,0.0,0.2
54,28124,28.124,55.0,16.8,132.5,0.0,0.0,0.0,0.2
55,28668,28.668,59.0,17.0,110.1,0.0,0.0,0.0,0.3
56,29123,29.123,57.0,18.1,132.2,0.0,0.0,0.0,0.3
57,29666,29.666,50.0,18.0,110.5,0.0,0.0,0.0,0.2
