compression_index,session_time_ms,time_s,peak_depth_mm,lean_mm,rate_cpm,hp_x,hp_y,hp_s,force_N
1,1179,1.179,39.0,0.0,0.0,0.0,0.0,0.0,-33.5
2,1814,1.814,48.0,10.7,94.5,0.0,0.0,0.0,-24.5
3,2266,2.266,54.0,15.1,132.5,0.0,0.0,0.0,64.6
4,2902,2.902,59.0,16.2,94.5,0.0,0.0,0.0,22.5
5,3446,3.446,53.0,16.2,110.3,0.0,0.0,0.0,-25.0
6,4171,4.171,30.0,15.9,82.6,0.0,0.0,0.0,-27.0
7,4715,4.715,36.0,15.1,110.3,0.0,0.0,0.0,-33.5
8,5895,5.895,31.0,9.2,50.9,0.0,0.0,0.0,-32.3
9,6619,6.619,23.0,6.9,82.8,-21.4,-21.4,5.1,-33.4
10,7164,7.164,35.0,8.3,110.3,0.0,0.0,0.0,-31.4
11,7799,7.799,34.0,11.0,94.5,-23.1,-0.4,17.1,-34.5
12,8252,8.252,39.0,13.1,132.2,0.0,0.0,0.0,-33.7
13,8705,8.705,31.0,16.4,132.5,0.0,0.0,0.0,-30.2
14,9794,9.794,37.0,13.9,55.1,-24.7,18.6,9.0,-35.6
15,10338,10.338,37.0,16.2,110.5,0.0,0.0,0.0,-30.6
16,10973,10.973,26.0,10.2,94.3,0.0,0.0,0.0,-1.3
17,12153,12.153,34.0,7.9,50.9,27.8,8.4,17.4,-36.6
18,12697,12.697,32.0,15.2,110.3,22.2,-2.8,64.1,-38.9
19,13150,13.15,30.0,17.2,132.5,0.0,0.0,0.0,-9.5
20,13695,13.695,33.0,15.4,110.1,0.0,0.0,0.0,-27.4
21,14329,14.329,38.0,14.5,94.5,17.8,-2.8,73.1,-45.3
22,14783,14.783,30.0,18.5,132.2,0.0,0.0,0.0,11.6
23,15962,15.962,38.0,7.4,50.9,0.0,0.0,0.0,-10.2
24,16415,16.415,34.0,12.8,132.2,0.0,0.0,0.0,2.6
25,17594,17.594,29.0,5.0,50.9,0.0,0.0,0.0,-8.8
26,18501,18.501,30.0,6.9,66.2,0.0,0.0,0.0,-5.2
27,19680,19.68,28.0,5.8,50.9,21.9,21.9,13.4,-33.8
28,20134,20.134,20.0,11.5,132.2,0.0,0.0,0.0,-29.5
29,20678,20.678,27.0,12.1,110.1,21.9,21.9,16.4,-33.9
30,22039,22.039,35.0,14.5,44.1,0.0,0.0,0.0,-32.1
31,24668,24.668,31.0,6.1,22.8,0.0,0.0,0.0,-9.9
32,26664,26.664,37.0,10.6,30.1,9.8,-17.0,28.0,-14.2
33,29838,29.838,29.0,3.5,18.9,19.4,-16.0,32.7,-14.4
