compression_index,session_time_ms,time_s,peak_depth_mm,lean_mm,rate_cpm,hp_x,hp_y,hp_s,force_N
1,998,0.998,52.0,0.0,0.9,0.0,0.0,0.0,-9.0
2,1452,1.452,63.0,12.6,132.2,0.0,0.0,0.0,33.1
3,1997,1.997,63.5,16.6,110.1,0.0,0.0,0.0,28.2
4,2541,2.541,63.5,16.7,110.3,0.0,0.0,0.0,0.2
5,3176,3.176,63.5,18.2,94.5,0.0,0.0,0.0,-6.4
6,3721,3.721,57.0,17.0,110.1,0.0,0.0,0.0,2.3
7,4266,4.266,55.0,15.0,110.1,0.0,0.0,0.0,2.1
8,4810,4.81,56.0,14.7,110.1,0.0,0.0,0.0,9.2
9,5355,5.355,57.0,15.3,110.3,0.0,0.0,0.0,-6.4
10,5990,5.99,45.0,13.3,94.3,0.0,0.0,0.0,-2.8
11,6807,6.807,44.0,9.1,73.5,0.0,0.0,0.0,3.4
12,7352,7.352,45.0,10.9,110.1,0.0,0.0,0.0,-20.9
13,7897,7.897,45.0,14.0,110.1,0.0,0.0,0.0,-29.9
14,8441,8.441,47.0,16.0,110.1,0.0,0.0,0.0,-31.7
15,8894,8.894,46.0,17.2,132.7,0.0,0.0,0.0,-32.2
16,9621,9.621,39.0,10.6,82.5,0.0,0.0,0.0,-4.8
17,10347,10.347,33.0,8.6,82.6,0.0,0.0,0.0,-30.5
18,10891,10.891,42.0,14.2,110.1,0.0,0.0,0.0,-24.7
19,11436,11.436,51.0,13.7,110.3,0.0,0.0,0.0,-29.8
20,11981,11.981,52.0,12.9,110.1,0.0,0.0,0.0,-32.9
21,12524,12.524,53.0,14.7,110.3,0.0,0.0,0.0,-32.2
22,13160,13.16,52.0,14.1,94.3,0.0,0.0,0.0,-29.8
23,13614,13.614,55.0,17.0,132.5,0.0,0.0,0.0,-29.2
24,14159,14.159,55.0,16.2,109.9,0.0,0.0,0.0,-34.1
25,14703,14.703,50.0,16.0,110.5,0.0,0.0,0.0,-27.6
26,15247,15.247,60.0,17.6,110.1,0.0,0.0,0.0,-27.0
27,15702,15.702,61.0,17.7,132.2,0.0,0.0,0.0,-19.1
28,16247,16.247,60.0,15.5,110.1,0.0,0.0,0.0,-25.4
29,16790,16.79,52.0,16.3,110.3,0.0,0.0,0.0,-27.1
30,17335,17.335,55.0,14.2,110.1,0.0,0.0,0.0,-36.2
31,17880,17.88,59.0,16.7,110.3,0.0,0.0,0.0,-22.6
32,18425,18.425,55.0,15.5,110.1,0.0,0.0,0.0,-19.4
33,18968,18.968,53.0,14.1,110.5,0.0,0.0,0.0,-17.9
34,19513,19.513,58.0,12.2,109.9,0.0,0.0,0.0,-22.8
35,20058,20.058,58.0,14.2,110.3,0.0,0.0,0.0,-22.9
36,20603,20.603,54.0,16.2,110.1,0.0,0.0,0.0,-18.9
37,21146,21.146,54.0,16.0,110.5,0.0,0.0,0.0,-16.6
38,21691,21.691,57.0,15.5,109.9,0.0,0.0,0.0,-20.4
39,22145,22.145,60.0,17.6,132.5,0.0,0.0,0.0,-22.5
40,22690,22.69,57.0,17.7,110.1,0.0,0.0,0.0,-31.9
41,23233,23.233,59.0,15.6,110.1,0.0,0.0,0.0,-22.2
42,23779,23.779,57.0,15.8,110.3,0.0,0.0,0.0,-24.9
43,24323,24.323,58.0,15.0,110.3,0.0,0.0,0.0,-19.6
44,24868,24.868,58.0,16.7,109.9,0.0,0.0,0.0,-16.8
45,25411,25.411,58.0,17.6,110.5,0.0,0.0,0.0,-20.0
46,25957,25.957,54.0,16.2,110.1,0.0,0.0,0.0,-22.8
47,26501,26.501,54.0,14.5,110.3,0.0,0.0,0.0,-18.9
48,27046,27.046,54.0,14.9,109.9,0.0,0.0,0.0,-17.1
49,27590,27.59,53.0,14.4,110.5,0.0,0.0,0.0,-23.5
50,28135,28.135,53.0,14.4,110.1,0.0,0.0,0.0,-22.8
51,28679,28.679,60.0,16.6,110.3,0.0,0.0,0.0,-21.9
52,29224,29.224,62.0,18.5,109.9,0.0,0.0,0.0,-23.2
53,29677,29.677,57.0,18.3,132.7,0.0,0.0,0.0,-17.9
