row_type,time_ms,session_time_ms,time_s,raw_depth_mm,depth_mm,peak_depth_mm,lean_mm,rate_cpm,compression_started,compression_completed,motion_state,hp_x,hp_y,hp_s,force_N,motor_on
DATA,21736,90,0.09,0.0,1.1,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.1,0
DATA,21828,182,0.182,2.0,1.4,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.1,0
DATA,21918,272,0.272,1.0,1.3,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0
DATA,22009,363,0.363,3.0,1.7,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,-0.0,0
DATA,22099,453,0.453,0.0,1.3,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,-0.0,0
DATA,22190,544,0.544,1.0,1.2,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0
DATA,22281,635,0.635,0.0,0.9,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.1,0
DATA,22372,726,0.726,3.0,1.4,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,-0.0,0
DATA,22462,816,0.816,6.0,2.6,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,-0.2,0
DATA,22553,907,0.907,13.0,5.2,0.0,0.1,0.0,1,0,1,-24.7,18.6,10.7,-0.5,0
DATA,22644,998,0.998,29.0,11.1,0.0,0.1,0.0,0,0,1,-21.2,17.0,31.7,-0.4,0
DATA,22734,1088,1.088,46.0,19.9,0.0,0.1,0.0,0,0,1,-22.1,17.4,8.7,1.3,0
DATA,22824,1178,1.178,40.0,24.9,0.0,0.1,0.0,0,0,1,0.0,0.0,0.0,-0.2,0
DATA,22916,1270,1.27,11.0,21.4,0.0,0.1,0.0,0,0,1,0.0,0.0,0.0,-1.0,0
DATA,23008,1362,1.362,1.0,16.3,46.0,0.1,0.0,0,1,2,0.0,0.0,0.0,-1.1,0
DATA,23097,1451,1.451,9.0,14.5,46.0,0.1,0.0,0,0,2,-24.7,18.6,12.7,-1.2,0
DATA,23188,1542,1.542,31.0,18.6,46.0,0.1,0.0,0,0,2,-19.2,19.0,27.7,1.3,0
DATA,23278,1632,1.632,61.0,29.2,46.0,14.5,0.0,1,0,1,-16.7,19.2,20.7,4.5,0
DATA,23369,1723,1.723,59.0,36.7,46.0,14.5,0.0,0,0,1,0.0,0.0,0.0,0.9,0
DATA,23460,1814,1.814,25.0,33.7,46.0,14.5,0.0,0,0,1,0.0,0.0,0.0,-0.8,0
DATA,23554,1908,1.908,4.0,26.3,61.0,14.5,110.3,0,1,2,0.0,0.0,0.0,-0.7,1
DATA,23642,1996,1.996,11.0,22.5,61.0,14.5,110.3,0,0,2,-24.7,18.6,14.7,-0.9,1
DATA,23733,2087,2.087,34.0,25.4,61.0,14.5,110.3,0,0,2,-19.2,19.0,31.7,2.1,1
DATA,23823,2177,2.177,63.5,34.9,61.0,22.5,110.3,1,0,1,-16.2,19.2,18.7,7.3,0
DATA,23914,2268,2.268,59.0,40.9,61.0,22.5,110.3,0,0,1,0.0,0.0,0.0,2.1,0
DATA,24005,2359,2.359,27.0,37.4,61.0,22.5,110.3,0,0,1,0.0,0.0,0.0,-0.5,0
DATA,24097,2451,2.451,7.0,29.8,63.5,22.5,110.1,0,1,2,-24.7,18.6,9.7,-0.6,1
DATA,24185,2539,2.539,22.0,27.9,63.5,22.5,110.1,0,0,2,-19.7,19.0,25.7,-0.1,1
DATA,24276,2630,2.63,58.0,35.4,63.5,27.9,110.1,1,0,1,-16.3,19.2,29.7,5.5,1
DATA,24367,2721,2.721,63.5,42.4,63.5,27.9,110.1,0,0,1,-18.4,19.1,6.7,4.9,0
DATA,24458,2812,2.812,34.0,40.3,63.5,27.9,110.1,0,0,1,0.0,0.0,0.0,-0.2,0
DATA,24552,2906,2.906,9.0,32.5,63.5,27.9,132.5,0,1,2,-24.7,18.6,8.7,-0.7,0
DATA,24640,2994,2.994,15.0,28.1,63.5,27.9,132.5,0,0,2,-21.1,18.9,28.7,-0.2,0
DATA,24730,3084,3.084,56.0,35.1,63.5,28.1,132.5,1,0,1,-18.1,19.1,29.7,6.4,0
DATA,24821,3175,3.175,63.5,42.2,63.5,28.1,132.5,0,0,1,-19.7,19.0,6.7,5.8,0
DATA,24911,3265,3.265,32.0,39.6,63.5,28.1,132.5,0,0,1,0.0,0.0,0.0,-0.2,0
DATA,25005,3359,3.359,7.0,31.5,63.5,28.1,132.2,0,1,2,-24.7,18.6,17.7,-0.9,0
DATA,25094,3448,3.448,30.0,31.1,63.5,28.1,132.2,0,0,2,-21.6,17.3,39.7,0.3,0
DATA,25184,3538,3.538,57.0,37.6,63.5,31.1,132.2,1,0,1,-22.4,17.6,17.7,6.6,0
DATA,25275,3629,3.629,63.0,43.9,63.5,31.1,132.2,0,0,1,0.0,0.0,0.0,3.5,0
DATA,25368,3722,3.722,21.0,38.2,63.0,31.1,165.3,0,1,2,0.0,0.0,0.0,-0.6,0
DATA,25456,3810,3.81,9.0,30.9,63.0,31.1,165.3,0,0,2,-24.7,18.6,9.7,-0.8,0
DATA,25547,3901,3.901,19.0,27.9,63.0,31.1,165.3,0,0,2,-24.7,18.6,14.7,-1.2,0
DATA,25637,3991,3.991,49.0,33.2,63.0,27.9,165.3,1,0,1,-21.2,16.8,34.7,1.7,0
DATA,25728,4082,4.082,61.0,40.1,63.0,27.9,165.3,0,0,1,-22.1,17.3,6.7,3.5,0
DATA,25819,4173,4.173,39.0,39.9,63.0,27.9,165.3,0,0,1,0.0,0.0,0.0,-0.3,0
DATA,25912,4266,4.266,8.0,31.9,61.0,27.9,110.3,0,1,2,0.0,0.0,0.0,-0.9,0
DATA,26000,4354,4.354,9.0,26.2,61.0,27.9,110.3,0,0,2,-23.5,4.4,19.7,-1.1,0
DATA,26091,4445,4.445,32.0,27.6,61.0,27.9,110.3,0,0,2,-20.3,5.2,39.7,1.0,0
DATA,26181,4535,4.535,55.0,34.5,61.0,26.2,110.3,1,0,1,-21.1,4.3,18.7,5.0,0
DATA,26272,4626,4.626,46.0,37.4,61.0,26.2,110.3,0,0,1,0.0,0.0,0.0,1.7,0
DATA,26366,4720,4.72,17.0,32.3,55.0,26.2,132.5,0,1,2,-21.4,-21.4,7.0,-0.9,0
DATA,26455,4809,4.809,4.0,25.2,55.0,26.2,132.5,0,0,2,-21.6,-19.2,25.7,-1.0,0
DATA,26545,4899,4.899,22.0,24.4,55.0,26.2,132.5,0,0,2,-19.5,-14.1,56.6,-0.8,0
DATA,26635,4989,4.989,32.0,26.3,55.0,26.2,132.5,0,0,2,-20.5,-9.1,18.7,0.3,0
DATA,26726,5080,5.08,40.0,29.7,55.0,24.4,132.5,1,0,1,0.0,0.0,0.0,0.2,0
DATA,26817,5171,5.171,20.0,27.3,55.0,24.4,132.5,0,0,1,0.0,0.0,0.0,-0.7,0
DATA,26910,5264,5.264,9.0,22.7,40.0,24.4,110.1,0,1,2,-24.7,18.6,8.7,-1.0,0
