row_type,time_ms,session_time_ms,time_s,raw_depth_mm,depth_mm,peak_depth_mm,lean_mm,rate_cpm,compression_started,compression_completed,motion_state,hp_x,hp_y,hp_s,force_N,motor_on
DATA,16874,90,0.09,1.0,0.8,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,-0.1,0
DATA,16965,181,0.181,2.0,1.1,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,-0.1,0
DATA,17055,271,0.271,1.0,1.1,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,-0.2,0
DATA,17146,362,0.362,3.0,1.6,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,-0.2,0
DATA,17238,454,0.454,7.0,2.9,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,-0.4,0
DATA,17328,544,0.544,11.0,4.9,0.0,0.0,0.0,0,0,0,3.0,20.6,19.7,-0.5,0
DATA,17419,635,0.635,43.0,14.5,0.0,0.0,0.0,1,0,1,5.5,20.0,45.6,-0.5,0
DATA,17510,726,0.726,63.5,26.7,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,-0.3,0
DATA,17600,816,0.816,38.0,29.5,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,-0.0,0
DATA,17693,909,0.909,3.0,22.9,63.5,0.0,0.0,0,1,2,0.0,0.0,0.0,0.4,1
DATA,17781,997,0.997,1.0,17.4,63.5,0.0,0.0,0,0,2,-24.7,18.6,6.0,0.2,1
DATA,17872,1088,1.088,18.0,17.6,63.5,0.0,0.0,0,0,2,-17.2,19.1,33.7,2.6,1
DATA,17964,1180,1.18,56.0,27.2,63.5,17.4,0.0,1,0,1,-13.3,19.4,13.7,8.9,0
DATA,18055,1271,1.271,54.0,33.9,63.5,17.4,0.0,0,0,1,0.0,0.0,0.0,3.8,0
DATA,18146,1362,1.362,15.0,29.2,63.5,17.4,0.0,0,0,1,0.0,0.0,0.0,0.3,0
DATA,18239,1455,1.455,0.0,21.9,56.0,17.4,110.1,0,1,2,0.0,0.0,0.0,0.2,1
DATA,18327,1543,1.543,9.0,18.7,56.0,17.4,110.1,0,0,2,-24.7,18.6,8.0,-0.1,1
DATA,18418,1634,1.634,36.0,23.0,56.0,17.4,110.1,0,0,2,-16.6,19.2,32.7,2.4,1
