row_type,time_ms,session_time_ms,time_s,raw_depth_mm,depth_mm,peak_depth_mm,lean_mm,rate_cpm,compression_started,compression_completed,motion_state,hp_x,hp_y,hp_s,force_N,motor_on
DATA,22898,91,0.091,1.0,1.4,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,-11.5,0
DATA,22988,181,0.181,3.0,1.8,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,-15.9,0
DATA,23078,271,0.271,2.0,1.8,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,-17.9,0
DATA,23170,363,0.363,2.0,1.9,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,-20.5,0
DATA,23260,453,0.453,2.0,1.9,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,-21.5,0
DATA,23351,544,0.544,2.0,1.9,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,-22.4,0
DATA,23442,635,0.635,5.0,2.7,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,-21.2,0
DATA,23532,725,0.725,15.0,5.8,0.0,0.0,0.0,0,0,0,26.2,5.1,52.4,43.0,0
DATA,23622,815,0.815,39.0,14.1,0.0,0.0,0.0,1,0,1,25.9,5.2,31.4,177.9,0
DATA,23713,906,0.906,38.0,20.1,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,164.1,0
DATA,23804,997,0.997,21.0,20.3,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,30.5,0
DATA,23895,1088,1.088,6.0,16.7,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,-30.2,0
DATA,23988,1181,1.181,4.0,13.5,39.0,0.0,0.0,0,1,2,0.0,0.0,0.0,-33.5,0
DATA,24076,1269,1.269,3.0,10.9,39.0,0.0,0.0,0,0,2,0.0,0.0,0.0,-31.8,0
DATA,24167,1360,1.36,10.0,10.7,39.0,0.0,0.0,0,0,2,23.9,1.2,77.1,18.1,0
DATA,24258,1451,1.451,45.0,19.3,39.0,10.7,0.0,1,0,1,23.8,1.1,60.1,166.8,0
DATA,24348,1541,1.541,48.0,26.4,39.0,10.7,0.0,0,0,1,24.5,3.7,14.4,213.7,0
DATA,24439,1632,1.632,25.0,26.1,39.0,10.7,0.0,0,0,1,0.0,0.0,0.0,127.3,0
DATA,24530,1723,1.723,8.0,21.6,39.0,10.7,0.0,0,0,1,0.0,0.0,0.0,10.5,0
DATA,24623,1816,1.816,4.0,17.2,48.0,10.7,94.5,0,1,2,0.0,0.0,0.0,-24.5,0
DATA,24711,1904,1.904,9.0,15.1,48.0,10.7,94.5,0,0,2,22.8,-0.1,60.1,2.8,0
DATA,24802,1995,1.995,36.0,20.3,48.0,10.7,94.5,0,0,2,23.1,0.2,109.1,89.2,0
DATA,24893,2086,2.086,54.0,28.8,48.0,15.1,94.5,1,0,1,23.8,1.3,39.4,104.0,0
DATA,24984,2177,2.177,39.0,31.3,48.0,15.1,94.5,0,0,1,0.0,0.0,0.0,95.6,0
DATA,25076,2269,2.269,11.0,26.2,54.0,15.1,132.5,0,1,2,0.0,0.0,0.0,64.6,1
DATA,25164,2357,2.357,5.0,20.9,54.0,15.1,132.5,0,0,2,0.0,0.0,0.0,-0.9,1
DATA,25255,2448,2.448,2.0,16.2,54.0,15.1,132.5,0,0,2,26.4,11.6,12.4,-3.3,1
DATA,25346,2539,2.539,21.0,17.4,54.0,15.1,132.5,0,0,2,25.6,8.5,110.1,86.3,0
DATA,25437,2630,2.63,59.0,27.8,54.0,16.2,132.5,1,0,1,25.0,6.3,53.1,144.9,0
DATA,25528,2721,2.721,49.0,33.1,54.0,16.2,132.5,0,0,1,25.3,7.6,10.4,146.4,0
DATA,25618,2811,2.811,17.0,29.1,54.0,16.2,132.5,0,0,1,0.0,0.0,0.0,122.2,0
DATA,25711,2904,2.904,2.0,22.3,59.0,16.2,94.5,0,1,2,0.0,0.0,0.0,22.5,1
DATA,25799,2992,2.992,5.0,18.0,59.0,16.2,94.5,0,0,2,0.0,0.0,0.0,-7.5,1
DATA,25890,3083,3.083,11.0,16.2,59.0,16.2,94.5,0,0,2,23.3,-0.5,85.1,43.5,1
DATA,25981,3174,3.174,48.0,24.2,59.0,16.2,94.5,1,0,1,23.1,-0.0,59.1,74.9,0
