row_type,time_ms,session_time_ms,time_s,raw_depth_mm,depth_mm,peak_depth_mm,lean_mm,rate_cpm,compression_started,compression_completed,motion_state,hp_x,hp_y,hp_s,force_N,motor_on
DATA,39550,90,0.09,0.0,0.5,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,-15.8,0
DATA,39641,181,0.181,0.0,0.4,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,-16.0,0
DATA,39732,272,0.272,0.0,0.3,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,-17.3,0
DATA,39822,362,0.362,4.0,1.2,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,-18.9,0
DATA,39913,453,0.453,2.0,1.4,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,-19.8,0
DATA,40004,544,0.544,1.0,1.3,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,-20.1,0
DATA,40094,634,0.634,12.0,4.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2.7,0
DATA,40185,725,0.725,43.0,13.7,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,139.7,0
DATA,40275,815,0.815,48.0,22.3,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,211.5,0
DATA,40367,907,0.907,30.0,24.2,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,115.0,0
DATA,40457,997,0.997,7.0,19.9,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,12.3,0
DATA,40550,1090,1.09,4.0,15.9,48.0,0.0,0.0,0,1,2,0.0,0.0,0.0,-13.7,0
DATA,40638,1178,1.178,8.0,14.0,48.0,0.0,0.0,0,0,2,0.0,0.0,0.0,12.0,0
DATA,40729,1269,1.269,47.0,22.2,48.0,14.0,0.0,1,0,1,0.0,0.0,0.0,71.2,0
DATA,40819,1359,1.359,53.0,29.9,48.0,14.0,0.0,0,0,1,0.0,0.0,0.0,81.9,0
DATA,40910,1450,1.45,39.0,32.2,48.0,14.0,0.0,0,0,1,0.0,0.0,0.0,75.0,0
DATA,41004,1544,1.544,9.0,26.4,53.0,14.0,132.2,0,1,2,0.0,0.0,0.0,35.2,1
DATA,41092,1632,1.632,3.0,20.5,53.0,14.0,132.2,0,0,2,0.0,0.0,0.0,-0.8,1
DATA,41182,1722,1.722,24.0,21.4,53.0,14.0,132.2,0,0,2,0.0,0.0,0.0,40.3,1
DATA,41273,1813,1.813,57.0,30.3,53.0,20.5,132.2,1,0,1,0.0,0.0,0.0,54.2,0
DATA,41364,1904,1.904,59.0,37.5,53.0,20.5,132.2,0,0,1,0.0,0.0,0.0,35.0,0
DATA,41454,1994,1.994,30.0,35.6,53.0,20.5,132.2,0,0,1,0.0,0.0,0.0,53.6,0
DATA,41547,2087,2.087,3.0,27.5,59.0,20.5,110.5,0,1,2,0.0,0.0,0.0,28.1,1
DATA,41636,2176,2.176,9.0,22.8,59.0,20.5,110.5,0,0,2,0.0,0.0,0.0,24.2,1
DATA,41725,2265,2.265,46.0,28.6,59.0,20.5,110.5,0,0,2,0.0,0.0,0.0,53.2,1
DATA,41817,2357,2.357,58.0,36.0,59.0,22.8,110.5,1,0,1,0.0,0.0,0.0,38.5,0
DATA,41908,2448,2.448,41.0,37.2,59.0,22.8,110.5,0,0,1,0.0,0.0,0.0,44.9,0
DATA,42001,2541,2.541,11.0,30.7,58.0,22.8,132.2,0,1,2,0.0,0.0,0.0,35.0,1
DATA,42089,2629,2.629,9.0,25.3,58.0,22.8,132.2,0,0,2,0.0,0.0,0.0,13.4,1
DATA,42180,2720,2.72,38.0,28.4,58.0,22.8,132.2,0,0,2,0.0,0.0,0.0,56.9,1
DATA,42270,2810,2.81,63.0,37.1,58.0,25.3,132.2,1,0,1,0.0,0.0,0.0,29.4,0
DATA,42360,2900,2.9,53.0,41.1,58.0,25.3,132.2,0,0,1,0.0,0.0,0.0,5.8,0
DATA,42454,2994,2.994,18.0,35.3,63.0,25.3,132.5,0,1,2,0.0,0.0,0.0,38.8,0
DATA,42543,3083,3.083,5.0,27.7,63.0,25.3,132.5,0,0,2,0.0,0.0,0.0,39.3,0
DATA,42634,3174,3.174,26.0,27.3,63.0,25.3,132.5,0,0,2,0.0,0.0,0.0,51.2,0
DATA,42724,3264,3.264,57.0,34.7,63.0,27.3,132.5,1,0,1,0.0,0.0,0.0,38.5,0
DATA,42814,3354,3.354,48.0,38.0,63.0,27.3,132.5,0,0,1,0.0,0.0,0.0,34.4,0
DATA,42907,3447,3.447,17.0,32.8,57.0,27.3,132.5,0,1,2,0.0,0.0,0.0,58.0,0
DATA,42995,3535,3.535,8.0,26.6,57.0,27.3,132.5,0,0,2,0.0,0.0,0.0,56.9,0
DATA,43086,3626,3.626,35.0,28.7,57.0,27.3,132.5,0,0,2,0.0,0.0,0.0,58.1,0
DATA,43177,3717,3.717,56.0,35.5,57.0,26.6,132.5,1,0,1,0.0,0.0,0.0,30.1,0
DATA,43268,3808,3.808,50.0,39.1,57.0,26.6,132.5,0,0,1,0.0,0.0,0.0,18.2,0
DATA,43358,3898,3.898,20.0,34.4,57.0,26.6,132.5,0,0,1,0.0,0.0,0.0,38.2,0
DATA,43451,3991,3.991,6.0,27.3,56.0,26.6,110.3,0,1,2,0.0,0.0,0.0,42.7,0
DATA,43540,4080,4.08,27.0,27.2,56.0,26.6,110.3,0,0,2,0.0,0.0,0.0,44.4,0
DATA,43630,4170,4.17,58.0,34.9,56.0,27.2,110.3,1,0,1,0.0,0.0,0.0,14.4,0
DATA,43721,4261,4.261,51.0,38.9,56.0,27.2,110.3,0,0,1,0.0,0.0,0.0,11.2,0
DATA,43814,4354,4.354,17.0,33.4,58.0,27.2,165.7,0,1,2,0.0,0.0,0.0,44.2,0
DATA,43902,4442,4.442,5.0,26.3,58.0,27.2,165.7,0,0,2,0.0,0.0,0.0,49.6,0
DATA,43993,4533,4.533,27.0,26.5,58.0,27.2,165.7,0,0,2,0.0,0.0,0.0,48.2,0
DATA,44084,4624,4.624,57.0,34.1,58.0,26.3,165.7,1,0,1,0.0,0.0,0.0,35.2,0
DATA,44175,4715,4.715,55.0,39.3,58.0,26.3,165.7,0,0,1,0.0,0.0,0.0,39.5,0
DATA,44264,4804,4.804,22.0,35.0,58.0,26.3,165.7,0,0,1,0.0,0.0,0.0,52.5,0
DATA,44358,4898,4.898,3.0,27.0,57.0,26.3,110.3,0,1,2,0.0,0.0,0.0,33.9,0
DATA,44446,4986,4.986,19.0,25.0,57.0,26.3,110.3,0,0,2,0.0,0.0,0.0,21.1,0
DATA,44536,5076,5.076,58.0,33.3,57.0,25.0,110.3,1,0,1,0.0,0.0,0.0,-0.5,0
DATA,44627,5167,5.167,58.0,39.4,57.0,25.0,110.3,0,0,1,0.0,0.0,0.0,-1.3,0
DATA,44719,5259,5.259,29.0,36.8,57.0,25.0,110.3,0,0,1,0.0,0.0,0.0,24.6,0
DATA,44812,5352,5.352,4.0,28.6,58.0,25.0,132.2,0,1,2,0.0,0.0,0.0,27.4,0
DATA,44899,5439,5.439,15.0,25.2,58.0,25.0,132.2,0,0,2,0.0,0.0,0.0,33.4,0
DATA,44990,5530,5.53,51.0,31.7,58.0,25.0,132.2,0,0,2,0.0,0.0,0.0,24.4,0
DATA,45081,5621,5.621,58.0,38.2,58.0,25.2,132.2,1,0,1,0.0,0.0,0.0,0.2,0
DATA,45172,5712,5.712,30.0,36.2,58.0,25.2,132.2,0,0,1,0.0,0.0,0.0,14.8,0
DATA,45264,5804,5.804,6.0,28.6,58.0,25.2,132.5,0,1,2,0.0,0.0,0.0,28.3,0
DATA,45352,5892,5.892,5.0,22.7,58.0,25.2,132.5,0,0,2,0.0,0.0,0.0,26.5,0
DATA,45444,5984,5.984,29.0,24.3,58.0,25.2,132.5,0,0,2,0.0,0.0,0.0,26.3,0
DATA,45535,6075,6.075,56.0,32.2,58.0,22.7,132.5,1,0,1,0.0,0.0,0.0,-4.2,0
DATA,45625,6165,6.165,50.0,36.7,58.0,22.7,132.5,0,0,1,0.0,0.0,0.0,-11.8,0
DATA,45715,6255,6.255,23.0,33.3,58.0,22.7,132.5,0,0,1,0.0,0.0,0.0,3.2,0
DATA,45809,6349,6.349,6.0,26.4,56.0,22.7,110.3,0,1,2,0.0,0.0,0.0,24.3,1
DATA,45896,6436,6.436,15.0,23.6,56.0,22.7,110.3,0,0,2,0.0,0.0,0.0,24.7,1
DATA,45987,6527,6.527,53.0,30.9,56.0,23.6,110.3,1,0,1,0.0,0.0,0.0,-1.4,1
DATA,46078,6618,6.618,60.0,38.2,56.0,23.6,110.3,0,0,1,0.0,0.0,0.0,-12.2,0
DATA,46170,6710,6.71,36.0,37.7,56.0,23.6,110.3,0,0,1,0.0,0.0,0.0,3.1,0
DATA,46262,6802,6.802,11.0,31.0,60.0,23.6,131.9,0,1,2,0.0,0.0,0.0,15.7,1
DATA,46351,6891,6.891,6.0,24.7,60.0,23.6,131.9,0,0,2,0.0,0.0,0.0,16.0,1
DATA,46441,6981,6.981,20.0,23.6,60.0,23.6,131.9,0,0,2,0.0,0.0,0.0,34.6,1
DATA,46531,7071,7.071,59.0,32.4,60.0,23.6,131.9,1,0,1,0.0,0.0,0.0,4.9,0
DATA,46622,7162,7.162,52.0,37.3,60.0,23.6,131.9,0,0,1,0.0,0.0,0.0,-15.4,0
DATA,46713,7253,7.253,24.0,34.0,60.0,23.6,131.9,0,0,1,0.0,0.0,0.0,5.6,0
DATA,46807,7347,7.347,4.0,26.5,59.0,23.6,110.5,0,1,2,0.0,0.0,0.0,24.9,1
DATA,46894,7434,7.434,6.0,21.4,59.0,23.6,110.5,0,0,2,0.0,0.0,0.0,28.6,1
DATA,46985,7525,7.525,37.0,25.3,59.0,23.6,110.5,0,0,2,0.0,0.0,0.0,25.8,1
DATA,47076,7616,7.616,61.0,34.2,59.0,21.4,110.5,1,0,1,0.0,0.0,0.0,2.5,0
DATA,47167,7707,7.707,39.0,35.4,59.0,21.4,110.5,0,0,1,0.0,0.0,0.0,0.4,0
DATA,47259,7799,7.799,13.0,29.8,61.0,21.4,132.5,0,1,2,0.0,0.0,0.0,19.4,1
DATA,47348,7888,7.888,8.0,24.4,61.0,21.4,132.5,0,0,2,0.0,0.0,0.0,33.9,1
DATA,47438,7978,7.978,15.0,22.0,61.0,21.4,132.5,0,0,2,0.0,0.0,0.0,33.6,1
DATA,47528,8068,8.068,50.0,29.0,61.0,21.4,132.5,0,0,2,0.0,0.0,0.0,8.2,0
DATA,47620,8160,8.16,60.0,36.8,61.0,22.0,132.5,1,0,1,0.0,0.0,0.0,-8.4,0
DATA,47710,8250,8.25,34.0,36.1,61.0,22.0,132.5,0,0,1,0.0,0.0,0.0,-5.5,0
DATA,47803,8343,8.343,10.0,29.6,60.0,22.0,110.3,0,1,2,0.0,0.0,0.0,18.5,1
DATA,47891,8431,8.431,7.0,23.9,60.0,22.0,110.3,0,0,2,0.0,0.0,0.0,35.1,1
DATA,47982,8522,8.522,15.0,21.7,60.0,22.0,110.3,0,0,2,0.0,0.0,0.0,42.7,1
DATA,48073,8613,8.613,55.0,30.0,60.0,21.7,110.3,1,0,1,0.0,0.0,0.0,15.6,0
DATA,48164,8704,8.704,53.0,35.8,60.0,21.7,110.3,0,0,1,0.0,0.0,0.0,-5.6,0
DATA,48257,8797,8.797,12.0,29.8,55.0,21.7,132.2,0,1,2,0.0,0.0,0.0,9.0,1
DATA,48345,8885,8.885,4.0,23.4,55.0,21.7,132.2,0,0,2,0.0,0.0,0.0,14.1,1
DATA,48436,8976,8.976,4.0,18.5,55.0,21.7,132.2,0,0,2,0.0,0.0,0.0,14.7,1
DATA,48527,9067,9.067,24.0,19.9,55.0,21.7,132.2,0,0,2,0.0,0.0,0.0,35.8,0
DATA,48617,9157,9.157,57.0,29.2,55.0,18.5,132.2,1,0,1,0.0,0.0,0.0,11.4,0
DATA,48707,9247,9.247,50.0,34.4,55.0,18.5,132.2,0,0,1,0.0,0.0,0.0,-12.8,0
DATA,48798,9338,9.338,15.0,29.5,55.0,18.5,132.2,0,0,1,0.0,0.0,0.0,-9.4,0
DATA,48891,9431,9.431,2.0,22.6,57.0,18.5,94.6,0,1,2,0.0,0.0,0.0,11.8,1
DATA,48979,9519,9.519,4.0,18.0,57.0,18.5,94.6,0,0,2,0.0,0.0,0.0,23.2,1
DATA,49071,9611,9.611,29.0,20.7,57.0,18.5,94.6,0,0,2,0.0,0.0,0.0,6.7,1
DATA,49161,9701,9.701,57.0,29.8,57.0,18.0,94.6,1,0,1,0.0,0.0,0.0,-15.0,0
DATA,49252,9792,9.792,33.0,30.6,57.0,18.0,94.6,0,0,1,0.0,0.0,0.0,-0.4,0
